,Links
0,https://www.ultimatespecs.com/car-specs/Acura/37551/Acura-TSX-II-.html
1,https://www.ultimatespecs.com/car-specs/Acura/37699/Acura-TSX-II-.html
2,https://www.ultimatespecs.com/car-specs/Acura/37553/Acura-TSX-II-Automatic.html
3,https://www.ultimatespecs.com/car-specs/Acura/37703/Acura-TSX-II-Automatic.html
4,https://www.ultimatespecs.com/car-specs/Acura/37550/Acura-TSX-II-V-6.html
5,https://www.ultimatespecs.com/car-specs/Acura/37702/Acura-TSX-II-V-6.html
6,https://www.ultimatespecs.com/car-specs/Acura/37704/Acura-TSX-II-Wagon-Automatic.html
7,https://www.ultimatespecs.com/car-specs/Acura/27723/Acura-TSX-.html
8,https://www.ultimatespecs.com/car-specs/Acura/37552/Acura-TSX-.html
9,https://www.ultimatespecs.com/car-specs/Acura/27706/Acura-TSX-Automatic.html
10,https://www.ultimatespecs.com/car-specs/Acura/37546/Acura-TSX-Automatic.html
11,https://www.ultimatespecs.com/car-specs/Acura/37526/Acura-TL-IV-35.html
12,https://www.ultimatespecs.com/car-specs/Acura/37566/Acura-TL-IV-37-SH-AWD.html
13,https://www.ultimatespecs.com/car-specs/Acura/37556/Acura-TL-IV-37-SH-AWD-Automatic.html
14,https://www.ultimatespecs.com/car-specs/Acura/37557/Acura-TL-III-32.html
15,https://www.ultimatespecs.com/car-specs/Acura/37548/Acura-TL-III-32.html
16,https://www.ultimatespecs.com/car-specs/Acura/37554/Acura-TL-III-32-Automatic.html
17,https://www.ultimatespecs.com/car-specs/Acura/37555/Acura-TL-III-32-Type-S-Automatic.html
18,https://www.ultimatespecs.com/car-specs/Acura/37549/Acura-TL-III-35-Type-S.html
19,https://www.ultimatespecs.com/car-specs/Acura/22580/Acura-TL-II-32.html
20,https://www.ultimatespecs.com/car-specs/Acura/22579/Acura-TL-II-32-Type-S.html
21,https://www.ultimatespecs.com/car-specs/Acura/39265/Acura-TL-I-25.html
22,https://www.ultimatespecs.com/car-specs/Acura/39266/Acura-TL-I-32.html
23,https://www.ultimatespecs.com/car-specs/Acura/37559/Acura-RL-(KB)-.html
24,https://www.ultimatespecs.com/car-specs/Acura/37565/Acura-RL-(KB)-.html
25,https://www.ultimatespecs.com/car-specs/Acura/37802/Acura-RL-(KB)-.html
26,https://www.ultimatespecs.com/car-specs/Acura/39322/Acura-RL-(KA9)-.html
27,https://www.ultimatespecs.com/car-specs/Acura/37776/Acura-RL-(KA9)-.html
28,https://www.ultimatespecs.com/car-specs/Acura/22598/Acura-RL-(KA9)-.html
29,https://www.ultimatespecs.com/car-specs/Acura/37563/Acura-RDX-.html
30,https://www.ultimatespecs.com/car-specs/Acura/37562/Acura-RDX-SH-AWD.html
31,https://www.ultimatespecs.com/car-specs/Acura/22832/Acura-MDX-V6.html
32,https://www.ultimatespecs.com/car-specs/Acura/27739/Acura-MDX-V6.html
33,https://www.ultimatespecs.com/car-specs/Acura/22724/Acura-CL-(YA4)-.html
34,https://www.ultimatespecs.com/car-specs/Acura/22723/Acura-CL-(YA4)-Type-S.html
35,https://www.ultimatespecs.com/car-specs/Acura/16685/Acura-CL-(YA1)-.html
36,https://www.ultimatespecs.com/car-specs/Acura/37784/Acura-CL-(YA1)-.html
37,https://www.ultimatespecs.com/car-specs/Acura/37781/Acura-CL-(YA1)-Automatic.html
38,https://www.ultimatespecs.com/car-specs/Acura/33180/Acura-SLX-35-V6.html
39,https://www.ultimatespecs.com/car-specs/Acura/16178/Acura-Legend-.html
40,https://www.ultimatespecs.com/car-specs/Acura/16191/Acura-Legend--Automatic.html
41,https://www.ultimatespecs.com/car-specs/Acura/16185/Acura-Legend--Coupe.html
42,https://www.ultimatespecs.com/car-specs/Acura/16181/Acura-Legend--Coupe-Automatic.html
43,https://www.ultimatespecs.com/car-specs/Acura/39312/Acura-Legend-Coupe.html
44,https://www.ultimatespecs.com/car-specs/Acura/39316/Acura-Legend-Coupe-Automatic.html
45,https://www.ultimatespecs.com/car-specs/Acura/39314/Acura-Legend-Sedan-GS.html
46,https://www.ultimatespecs.com/car-specs/Acura/39315/Acura-Legend-Sedan-GS-Automatic.html
47,https://www.ultimatespecs.com/car-specs/Acura/16213/Acura-Integra-GS-R.html
48,https://www.ultimatespecs.com/car-specs/Acura/17336/Acura-Integra-GS-R-Sedan.html
49,https://www.ultimatespecs.com/car-specs/Acura/16539/Acura-Integra-RS.html
50,https://www.ultimatespecs.com/car-specs/Acura/16205/Acura-Integra-RS-Sedan.html
51,https://www.ultimatespecs.com/car-specs/Acura/37536/Acura-Integra-Type-R.html
52,https://www.ultimatespecs.com/car-specs/Acura/22039/Acura-RSX-.html
53,https://www.ultimatespecs.com/car-specs/Acura/37567/Acura-RSX-.html
54,https://www.ultimatespecs.com/car-specs/Acura/37568/Acura-RSX-.html
55,https://www.ultimatespecs.com/car-specs/Acura/22035/Acura-RSX--Automatic.html
56,https://www.ultimatespecs.com/car-specs/Acura/22036/Acura-RSX--Type-S.html
57,https://www.ultimatespecs.com/car-specs/Acura/37558/Acura-RSX-Automatic.html
58,https://www.ultimatespecs.com/car-specs/Acura/37560/Acura-RSX-Automatic.html
59,https://www.ultimatespecs.com/car-specs/Acura/37564/Acura-RSX-Type-S.html
60,https://www.ultimatespecs.com/car-specs/Acura/37569/Acura-RSX-Type-S.html
61,https://www.ultimatespecs.com/car-specs/Acura/35719/Acura-ZDX-37-V6.html
62,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62415/Alfa-Romeo-MiTo--09-Turbo-TwinAir-85HP-S-S-Distinctive.html
63,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/41066/Alfa-Romeo-MiTo--14-70HP.html
64,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62408/Alfa-Romeo-MiTo--14-70HP.html
65,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/41067/Alfa-Romeo-MiTo--14-78HP-S-S-Distinctive.html
66,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62410/Alfa-Romeo-MiTo--14-78HP-S-S-Distinctive.html
67,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/41068/Alfa-Romeo-MiTo--14-MultiAir-105HP-S-S-Distinctive.html
68,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62419/Alfa-Romeo-MiTo--14-MultiAir-105HP-S-S-Distinctive.html
69,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/41069/Alfa-Romeo-MiTo--14-Turbo-MultiAir-135HP-S-S-Distinctive.html
70,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/41070/Alfa-Romeo-MiTo--14-Turbo-MultiAir-135HP-S-S-Distinctive-TCT.html
71,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/41071/Alfa-Romeo-MiTo--14-Turbo-MultiAir-170HP-S-S-Quadrifoglio-Verde.html
72,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62425/Alfa-Romeo-MiTo--14-Turbo-MultiAir-170HP-S-S-Quadrifoglio-Verde.html
73,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/66791/Alfa-Romeo-MiTo-09-105HP-TwinAir-S-S-Distinctive.html
74,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/70470/Alfa-Romeo-MiTo-09-105HP-TwinAir-S-S-Junior.html
75,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/116461/Alfa-Romeo-MiTo-09-Turbo-TwinAir-100HP-ECO-Urban.html
76,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/66795/Alfa-Romeo-MiTo-14-170HP-MultiAir-Quadrifoglio-Verde.html
77,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/66775/Alfa-Romeo-MiTo-14-70HP-MiTo.html
78,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/13974/Alfa-Romeo-MiTo-14-78HP-Distinctive.html
79,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/66787/Alfa-Romeo-MiTo-14-78HP-Distinctive.html
80,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/11698/Alfa-Romeo-MiTo-14-78HP-Junior.html
81,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/70469/Alfa-Romeo-MiTo-14-78HP-S-S-Junior.html
82,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/33835/Alfa-Romeo-MiTo-14-MPI.html
83,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/9544/Alfa-Romeo-MiTo-14-MultiAir-105HP-Distinctive.html
84,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/11699/Alfa-Romeo-MiTo-14-MultiAir-105HP-Distinctive.html
85,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/8316/Alfa-Romeo-MiTo-14-MultiAir-105HP-Progression.html
86,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/35904/Alfa-Romeo-MiTo-14-MultiAir-Quadrifoglio-Verde.html
87,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/35903/Alfa-Romeo-MiTo-14-MultiAir-TB.html
88,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/36874/Alfa-Romeo-MiTo-14-MultiAir-TB-ALFA-TCT.html
89,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/70467/Alfa-Romeo-MiTo-14-TB-MultiAir-140HP-TCT-Distinctive.html
90,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/70468/Alfa-Romeo-MiTo-14-TB-MultiAir-140HP-TCT-Junior.html
91,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/69292/Alfa-Romeo-MiTo-14-TB-MultiAir-170HP-TCT-Quadrifoglio-Verde.html
92,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/33833/Alfa-Romeo-MiTo-14-Turbo.html
93,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/35018/Alfa-Romeo-MiTo-14-Turbo-120.html
94,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/8317/Alfa-Romeo-MiTo-14-Turbo-MultiAir-135HP-Distinctive.html
95,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/11700/Alfa-Romeo-MiTo-14-Turbo-MultiAir-135HP-Distinctive.html
96,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/116462/Alfa-Romeo-MiTo-14-Turbo-MultiAir-140HP-Urban.html
97,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/8318/Alfa-Romeo-MiTo-14-Turbo-MultiAir-170HP-Quadrifoglio-Verde.html
98,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/11701/Alfa-Romeo-MiTo-14-Turbo-MultiAir-170HP-Quadrifoglio-Verde.html
99,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/11985/Alfa-Romeo-MiTo-14-Turbo-MultiAir-TCT-135HP-Distinctive.html
100,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/35016/Alfa-Romeo-MiTo-14-Turbo-RIAR.html
101,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/41072/Alfa-Romeo-MiTo--13-JTDm-95HP-S-S.html
102,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62433/Alfa-Romeo-MiTo--13-JTDm-95HP-S-S.html
103,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/41073/Alfa-Romeo-MiTo--13-JTDm-95HP-S-S-Distinctive.html
104,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62438/Alfa-Romeo-MiTo--13-JTDm-95HP-S-S-Distinctive.html
105,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/26265/Alfa-Romeo-MiTo--16-JTDm-120HP-Distinctive.html
106,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/41074/Alfa-Romeo-MiTo--16-JTDm-120HP-S-S-Distinctive.html
107,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62442/Alfa-Romeo-MiTo--16-JTDm-120HP-S-S-Distinctive.html
108,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/116463/Alfa-Romeo-MiTo-13-80HP-JTDm-ECO-Urban.html
109,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/66804/Alfa-Romeo-MiTo-13-85HP-JTDm-Distinctive.html
110,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/66799/Alfa-Romeo-MiTo-13-85HP-JTDm-MiTo.html
111,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/66807/Alfa-Romeo-MiTo-13-85HP-JTDm-SBK.html
112,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/35017/Alfa-Romeo-MiTo-13-JTDm.html
113,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/70471/Alfa-Romeo-MiTo-13-JTDm-85HP-S-S-Junior.html
114,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/9543/Alfa-Romeo-MiTo-13-JTDm-90HP-Junior.html
115,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/11703/Alfa-Romeo-MiTo-13-JTDm-95HP-StartStop-Distinctive.html
116,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/10442/Alfa-Romeo-MiTo-13-JTDm-95HP-StartStop-Junior.html
117,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/11702/Alfa-Romeo-MiTo-13-JTDm-95HP-StartStop-Junior.html
118,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/10443/Alfa-Romeo-MiTo-13-JTDm-StartStop-95HP-Distinctive.html
119,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/36878/Alfa-Romeo-MiTo-13-JTDm-2.html
120,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/66811/Alfa-Romeo-MiTo-16-120HP-JTDm-Distinctive.html
121,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/33836/Alfa-Romeo-MiTo-16-JTDm.html
122,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/11704/Alfa-Romeo-MiTo-16-JTDm-120HP-Distinctive.html
123,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62453/Alfa-Romeo-Giulietta-II--14-TB-120HP-Distinctive.html
124,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62448/Alfa-Romeo-Giulietta-II--14-TB-120HP-Progression.html
125,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62464/Alfa-Romeo-Giulietta-II--14-TB-MultiAir-170HP-Distinctive.html
126,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62470/Alfa-Romeo-Giulietta-II--14-TB-MultiAir-170HP-Distinctive-TCT.html
127,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62476/Alfa-Romeo-Giulietta-II--17-TBi-235HP-Quadrifoglio-Verde.html
128,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/64880/Alfa-Romeo-Giulietta-II-14-TB-105HP-Progression.html
129,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/69374/Alfa-Romeo-Giulietta-II-14-TB-105HP-S-S-Super.html
130,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/70428/Alfa-Romeo-Giulietta-II-14-TB-MultiAir-150HP-S-S-Sprint.html
131,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/70452/Alfa-Romeo-Giulietta-II-14-TB-MultiAir-170HP-S-S-Sprint-TCT.html
132,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/116612/Alfa-Romeo-Giulietta-II-14-Turbo-120.html
133,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/9956/Alfa-Romeo-Giulietta-II-14-Turbo-Benzina-120HP-Distinctive.html
134,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/9955/Alfa-Romeo-Giulietta-II-14-Turbo-Benzina-120HP-Progression.html
135,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/9957/Alfa-Romeo-Giulietta-II-14-Turbo-MultiAir-170HP-Distinctive.html
136,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/69293/Alfa-Romeo-Giulietta-II-17-TBi-240HP-TCT-Quadrifoglio-Verde.html
137,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/69344/Alfa-Romeo-Giulietta-II-17-TBi-240HP-TCT-Quadrifoglio-Verde-Launch-Edition.html
138,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/9958/Alfa-Romeo-Giulietta-II-1750-TBi-235HP-Quadrifoglio-Verde.html
139,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62490/Alfa-Romeo-Giulietta-II--16-JTDm-105HP-Distinctive.html
140,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62482/Alfa-Romeo-Giulietta-II--16-JTDm-105HP-Progression.html
141,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/60204/Alfa-Romeo-Giulietta-II--16-JTDm-2-105HP-Super-Limited-Edition.html
142,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62497/Alfa-Romeo-Giulietta-II--20-JTDm-140HP-Distinctive.html
143,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62503/Alfa-Romeo-Giulietta-II--20-JTDm-170HP-Distinctive.html
144,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62510/Alfa-Romeo-Giulietta-II--20-JTDm-170HP-Distinctive-TCT.html
145,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/70450/Alfa-Romeo-Giulietta-II-16-JTDm-105HP-S-S-Sprint.html
146,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/69375/Alfa-Romeo-Giulietta-II-16-JTDm-105HP-S-S-Super.html
147,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/64886/Alfa-Romeo-Giulietta-II-16-JTDm-105HP-Veloce.html
148,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/116614/Alfa-Romeo-Giulietta-II-16-JTDm-120.html
149,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/9960/Alfa-Romeo-Giulietta-II-16-JTDm-2-105HP-Distinctive.html
150,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/9959/Alfa-Romeo-Giulietta-II-16-JTDm-2-105HP-Progression.html
151,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/64892/Alfa-Romeo-Giulietta-II-20-JTDm-140HP-Veloce.html
152,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/70451/Alfa-Romeo-Giulietta-II-20-JTDm-150HP-S-S-Sprint.html
153,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/70447/Alfa-Romeo-Giulietta-II-20-JTDm-175HP-S-S-Distinctive-TCT.html
154,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/70449/Alfa-Romeo-Giulietta-II-20-JTDm-175HP-S-S-Sprint-TCT.html
155,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/9962/Alfa-Romeo-Giulietta-II-20-JTDm-2-170HP-Distinctive.html
156,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/9961/Alfa-Romeo-Giulietta-II-20-JTDm-2-170HP-Progression.html
157,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/62458/Alfa-Romeo-Giulietta-II--14-GLP-Turbo-120HP-Distinctive.html
158,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/447/Alfa-Romeo-Nuova-Giulietta-13.html
159,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/448/Alfa-Romeo-Nuova-Giulietta-16.html
160,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/449/Alfa-Romeo-Nuova-Giulietta-18.html
161,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/450/Alfa-Romeo-Nuova-Giulietta-20.html
162,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/451/Alfa-Romeo-Nuova-Giulietta-Turbo-AutoDelta.html
163,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/452/Alfa-Romeo-Nuova-Giulietta-20-Turbo-Diesel.html
164,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/19368/Alfa-Romeo-Giulietta-Berlina-.html
165,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/19367/Alfa-Romeo-Giulietta-Berlina-TI.html
166,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/19394/Alfa-Romeo-Giulietta-Berlina-TI.html
167,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/19252/Alfa-Romeo-Giulietta-Berlina-TI.html
168,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/19365/Alfa-Romeo-Giulietta-Spider-.html
169,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/19374/Alfa-Romeo-Giulietta-Spider-Veloce.html
170,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/19366/Alfa-Romeo-Giulietta-Sprint-.html
